,Date,Level (m),Dimension (m)
1,1987-06-11,152.99,173.26
2,1987-07-06,159.53,166.72
3,1987-09-07,152.89,173.36
4,1988-01-19,152.98,173.27
5,1988-03-25,151.73,174.52
6,1988-05-24,151.16,175.09
7,1988-09-21,152.12,174.13
8,1989-02-16,153.61,172.64
9,1989-03-28,153.89,172.36
10,1989-05-03,153.95,172.3
11,1989-06-14,154.24,172.01
12,1989-07-18,154.2,172.05
13,1989-09-05,154.13,172.12
14,1989-10-17,154.23,172.02
15,1989-11-16,154.28,171.97
16,1989-12-12,153.94,172.31
17,1990-01-16,152.3,173.95
18,1990-03-06,150.27,175.98
19,1990-04-25,149.2,177.05
20,1990-05-22,148.8,177.45
21,1990-07-03,148.4,177.85
22,1990-09-18,148.2,178.05
23,1990-10-23,148.15,178.1
24,1991-01-15,148.69,177.56
25,1991-02-12,148.89,177.36
26,1991-03-20,149.08,177.17
27,1991-04-23,149.33,176.92
28,1991-05-21,149.5,176.75
29,1995-03-20,155.58,170.67
30,1995-04-26,155.77,170.48
31,1995-05-26,155.76,170.49
32,1995-06-26,155.83,170.42
33,1995-07-27,155.8,170.45
34,1995-08-10,155.78,170.47
35,1995-09-26,155.99,170.26
36,1995-10-24,156.14,170.11
37,1995-11-29,156.27,169.98
38,1995-12-04,156.24,170.01
39,1996-01-29,156.21,170.04
40,1996-03-27,154.12,172.13
41,1996-05-27,151.54,174.71
42,1996-06-26,151.44,174.81
43,1996-08-05,151.51,174.74
44,1996-10-30,151.76,174.49
45,1996-11-27,149.63,176.62
46,1997-01-28,148.36,177.89
47,1997-03-25,148.67,177.58
48,1997-04-28,148.5,177.75
49,1997-05-27,148.88,177.37
50,1997-06-26,148.97,177.28
51,1997-07-30,149.12,177.13
52,1997-09-19,149.87,176.38
53,1997-10-09,148.7,177.55
54,1997-11-28,150.2,176.05
55,1998-01-27,149.85,176.4
56,1998-02-27,150.1,176.15
57,1998-06-22,149.25,177.0
58,1998-07-27,149.31,176.94
59,1998-09-23,149.36,176.89
60,1998-12-17,149.6,176.65
61,1999-01-28,149.75,176.5
62,1999-02-10,149.81,176.44
63,1999-03-25,150.24,176.01
64,1999-04-24,150.56,175.69
65,1999-05-27,150.79,175.46
66,1999-06-24,150.9,175.35
67,1999-07-27,152.2,174.05
68,1999-09-20,151.98,174.27
69,1999-11-22,151.95,174.3
70,1999-12-20,152.06,174.19
71,2000-01-25,152.96,173.29
72,2000-02-22,153.22,173.03
73,2000-03-31,153.6,172.65
74,2000-04-28,153.72,172.53
75,2000-05-22,153.95,172.3
76,2000-06-26,154.01,172.24
77,2000-07-24,154.04,172.21
78,2000-09-15,154.24,172.01
79,2000-10-23,154.28,171.97
80,2000-11-20,154.03,172.22
81,2000-12-18,154.08,172.17
82,2001-01-22,154.05,172.2
83,2001-02-19,154.02,172.23
84,2001-03-28,154.13,172.12
85,2001-04-23,154.1,172.15
86,2001-05-21,153.4,172.85
87,2001-06-25,153.01,173.24
88,2001-07-23,152.97,173.28
89,2001-08-22,153.37,172.88
90,2001-09-25,153.4,172.85
91,2001-10-22,153.55,172.7
92,2001-11-26,153.71,172.54
93,2001-12-12,153.68,172.57
94,2002-01-28,153.95,172.3
95,2002-02-20,153.98,172.27
96,2002-03-19,153.9,172.35
97,2002-04-23,153.82,172.43
98,2002-05-27,153.85,172.4
99,2002-06-26,153.91,172.34
100,2002-07-22,153.05,173.2
101,2002-08-09,153.75,172.5
102,2002-09-24,154.19,172.06
103,2002-10-28,154.07,172.18
104,2002-11-26,154.6,171.65
105,2002-12-16,154.64,171.61
106,2003-01-27,154.76,171.49
107,2003-02-24,154.79,171.46
108,2003-03-24,154.82,171.43
109,2003-04-28,154.41,171.84
