Piezómetros,,,,,,,,,,,,,,,,,
Cod. Piezómetro,Profundidad obra (m),Provincia,Municipio,Fecha Nivel,Nº Medidas,Nombre,Demarcación Hidrográfica,Masa de agua subterránea sobre la que se sitúa el piezómetro,Unidad Hidrogeológica,Cota terreno (msnm),Profundidad (m),Coordenada X (ETRS89),Coordenada Y (ETRS89),Descripción,Fecha,Nivel,Cota
06.08.001,156,Almería,Tabernas,09-02-2007,91,El Alpargatero,CUENCAS MEDITERRANEAS ANDALUZAS,AGUAS,Alto Aguas,565,156,566.972,4.106.395,El Alpargatero,09-02-2007,"86,34","478,44"
06.08.001,156,Almería,Tabernas,09-02-2007,91,El Alpargatero,CUENCAS MEDITERRANEAS ANDALUZAS,AGUAS,Alto Aguas,565,156,566.972,4.106.395,El Alpargatero,03-03-2007,"86,31","478,47"
06.08.001,156,Almería,Tabernas,09-02-2007,91,El Alpargatero,CUENCAS MEDITERRANEAS ANDALUZAS,AGUAS,Alto Aguas,565,156,566.972,4.106.395,El Alpargatero,09-04-2007,"86,49","478,29"
06.08.001,156,Almería,Tabernas,09-02-2007,91,El Alpargatero,CUENCAS MEDITERRANEAS ANDALUZAS,AGUAS,Alto Aguas,565,156,566.972,4.106.395,El Alpargatero,06-05-2007,"86,44","478,34"
06.08.001,156,Almería,Tabernas,09-02-2007,91,El Alpargatero,CUENCAS MEDITERRANEAS ANDALUZAS,AGUAS,Alto Aguas,565,156,566.972,4.106.395,El Alpargatero,10-06-2007,"86,76","478,02"
06.08.001,156,Almería,Tabernas,09-02-2007,91,El Alpargatero,CUENCAS MEDITERRANEAS ANDALUZAS,AGUAS,Alto Aguas,565,156,566.972,4.106.395,El Alpargatero,08-07-2007,"87,41","477,37"
06.08.001,156,Almería,Tabernas,09-02-2007,91,El Alpargatero,CUENCAS MEDITERRANEAS ANDALUZAS,AGUAS,Alto Aguas,565,156,566.972,4.106.395,El Alpargatero,07-08-2007,"87,49","477,29"
06.08.001,156,Almería,Tabernas,09-02-2007,91,El Alpargatero,CUENCAS MEDITERRANEAS ANDALUZAS,AGUAS,Alto Aguas,565,156,566.972,4.106.395,El Alpargatero,12-09-2007,"87,73","477,05"
06.08.001,156,Almería,Tabernas,09-02-2007,91,El Alpargatero,CUENCAS MEDITERRANEAS ANDALUZAS,AGUAS,Alto Aguas,565,156,566.972,4.106.395,El Alpargatero,02-10-2007,"87,92","476,86"
06.08.001,156,Almería,Tabernas,09-02-2007,91,El Alpargatero,CUENCAS MEDITERRANEAS ANDALUZAS,AGUAS,Alto Aguas,565,156,566.972,4.106.395,El Alpargatero,12-11-2007,"87,94","476,84"
06.08.001,156,Almería,Tabernas,09-02-2007,91,El Alpargatero,CUENCAS MEDITERRANEAS ANDALUZAS,AGUAS,Alto Aguas,565,156,566.972,4.106.395,El Alpargatero,11-12-2007,"87,88","476,90"
06.08.001,156,Almería,Tabernas,09-02-2007,91,El Alpargatero,CUENCAS MEDITERRANEAS ANDALUZAS,AGUAS,Alto Aguas,565,156,566.972,4.106.395,El Alpargatero,02-01-2008,"87,89","476,89"
06.08.001,156,Almería,Tabernas,09-02-2007,91,El Alpargatero,CUENCAS MEDITERRANEAS ANDALUZAS,AGUAS,Alto Aguas,565,156,566.972,4.106.395,El Alpargatero,11-02-2008,"87,85","476,93"
06.08.001,156,Almería,Tabernas,09-02-2007,91,El Alpargatero,CUENCAS MEDITERRANEAS ANDALUZAS,AGUAS,Alto Aguas,565,156,566.972,4.106.395,El Alpargatero,10-03-2008,"87,79","476,99"
06.08.001,156,Almería,Tabernas,09-02-2007,91,El Alpargatero,CUENCAS MEDITERRANEAS ANDALUZAS,AGUAS,Alto Aguas,565,156,566.972,4.106.395,El Alpargatero,06-04-2008,"91,57","473,21"
06.08.001,156,Almería,Tabernas,09-02-2007,91,El Alpargatero,CUENCAS MEDITERRANEAS ANDALUZAS,AGUAS,Alto Aguas,565,156,566.972,4.106.395,El Alpargatero,06-05-2008,"92,48","472,30"
06.08.001,156,Almería,Tabernas,09-02-2007,91,El Alpargatero,CUENCAS MEDITERRANEAS ANDALUZAS,AGUAS,Alto Aguas,565,156,566.972,4.106.395,El Alpargatero,06-06-2008,"92,92","471,86"
06.08.001,156,Almería,Tabernas,09-02-2007,91,El Alpargatero,CUENCAS MEDITERRANEAS ANDALUZAS,AGUAS,Alto Aguas,565,156,566.972,4.106.395,El Alpargatero,06-07-2008,"93,63","471,15"
06.08.001,156,Almería,Tabernas,09-02-2007,91,El Alpargatero,CUENCAS MEDITERRANEAS ANDALUZAS,AGUAS,Alto Aguas,565,156,566.972,4.106.395,El Alpargatero,06-08-2008,"95,20","469,58"
06.08.001,156,Almería,Tabernas,09-02-2007,91,El Alpargatero,CUENCAS MEDITERRANEAS ANDALUZAS,AGUAS,Alto Aguas,565,156,566.972,4.106.395,El Alpargatero,08-09-2008,"96,26","468,52"
06.08.001,156,Almería,Tabernas,09-02-2007,91,El Alpargatero,CUENCAS MEDITERRANEAS ANDALUZAS,AGUAS,Alto Aguas,565,156,566.972,4.106.395,El Alpargatero,10-10-2008,"99,22","465,56"
06.08.001,156,Almería,Tabernas,09-02-2007,91,El Alpargatero,CUENCAS MEDITERRANEAS ANDALUZAS,AGUAS,Alto Aguas,565,156,566.972,4.106.395,El Alpargatero,08-11-2008,"96,45","468,33"
06.08.001,156,Almería,Tabernas,09-02-2007,91,El Alpargatero,CUENCAS MEDITERRANEAS ANDALUZAS,AGUAS,Alto Aguas,565,156,566.972,4.106.395,El Alpargatero,10-12-2008,"96,16","468,62"
06.08.001,156,Almería,Tabernas,09-02-2007,91,El Alpargatero,CUENCAS MEDITERRANEAS ANDALUZAS,AGUAS,Alto Aguas,565,156,566.972,4.106.395,El Alpargatero,02-01-2009,"96,00","468,78"
06.08.001,156,Almería,Tabernas,09-02-2007,91,El Alpargatero,CUENCAS MEDITERRANEAS ANDALUZAS,AGUAS,Alto Aguas,565,156,566.972,4.106.395,El Alpargatero,09-02-2009,"95,46","469,32"
06.08.001,156,Almería,Tabernas,09-02-2007,91,El Alpargatero,CUENCAS MEDITERRANEAS ANDALUZAS,AGUAS,Alto Aguas,565,156,566.972,4.106.395,El Alpargatero,18-03-2009,"96,05","468,73"
06.08.001,156,Almería,Tabernas,09-02-2007,91,El Alpargatero,CUENCAS MEDITERRANEAS ANDALUZAS,AGUAS,Alto Aguas,565,156,566.972,4.106.395,El Alpargatero,23-04-2009,"96,38","468,40"
06.08.001,156,Almería,Tabernas,09-02-2007,91,El Alpargatero,CUENCAS MEDITERRANEAS ANDALUZAS,AGUAS,Alto Aguas,565,156,566.972,4.106.395,El Alpargatero,27-05-2009,"96,58","468,20"
06.08.001,156,Almería,Tabernas,09-02-2007,91,El Alpargatero,CUENCAS MEDITERRANEAS ANDALUZAS,AGUAS,Alto Aguas,565,156,566.972,4.106.395,El Alpargatero,26-06-2009,"97,18","467,60"
06.08.001,156,Almería,Tabernas,09-02-2007,91,El Alpargatero,CUENCAS MEDITERRANEAS ANDALUZAS,AGUAS,Alto Aguas,565,156,566.972,4.106.395,El Alpargatero,24-07-2009,"98,62","466,16"
06.08.001,156,Almería,Tabernas,09-02-2007,91,El Alpargatero,CUENCAS MEDITERRANEAS ANDALUZAS,AGUAS,Alto Aguas,565,156,566.972,4.106.395,El Alpargatero,28-08-2009,"97,85","466,93"
06.08.001,156,Almería,Tabernas,09-02-2007,91,El Alpargatero,CUENCAS MEDITERRANEAS ANDALUZAS,AGUAS,Alto Aguas,565,156,566.972,4.106.395,El Alpargatero,25-09-2009,"101,22","463,56"
