Piezómetros,,,,,,,,,,,,,,,,,
Cod. Piezómetro,Profundidad obra (m),Provincia,Municipio,Fecha Nivel,Nº Medidas,Nombre,Demarcación Hidrográfica,Masa de agua subterránea sobre la que se sitúa el piezómetro,Unidad Hidrogeológica,Cota terreno (msnm),Profundidad (m),Coordenada X (ETRS89),Coordenada Y (ETRS89),Descripción,Fecha,Nivel,Cota
06.12.003,350,Almería,Santa Fe de Mondújar,27-11-2001,114,R. Huechar,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,226,350,542.837,4.090.773,R. Huechar,27-11-2001,"45,50","180,09"
06.12.003,350,Almería,Santa Fe de Mondújar,27-11-2001,114,R. Huechar,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,226,350,542.837,4.090.773,R. Huechar,17-01-2002,"45,38","180,21"
06.12.003,350,Almería,Santa Fe de Mondújar,27-11-2001,114,R. Huechar,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,226,350,542.837,4.090.773,R. Huechar,07-02-2002,"44,66","180,93"
06.12.003,350,Almería,Santa Fe de Mondújar,27-11-2001,114,R. Huechar,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,226,350,542.837,4.090.773,R. Huechar,11-03-2002,"42,68","182,91"
06.12.003,350,Almería,Santa Fe de Mondújar,27-11-2001,114,R. Huechar,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,226,350,542.837,4.090.773,R. Huechar,03-04-2002,"42,01","183,58"
06.12.003,350,Almería,Santa Fe de Mondújar,27-11-2001,114,R. Huechar,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,226,350,542.837,4.090.773,R. Huechar,03-05-2002,"41,42","184,17"
06.12.003,350,Almería,Santa Fe de Mondújar,27-11-2001,114,R. Huechar,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,226,350,542.837,4.090.773,R. Huechar,06-06-2002,"42,12","183,47"
06.12.003,350,Almería,Santa Fe de Mondújar,27-11-2001,114,R. Huechar,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,226,350,542.837,4.090.773,R. Huechar,05-07-2002,"43,43","182,16"
06.12.003,350,Almería,Santa Fe de Mondújar,27-11-2001,114,R. Huechar,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,226,350,542.837,4.090.773,R. Huechar,06-08-2002,"44,49","181,10"
06.12.003,350,Almería,Santa Fe de Mondújar,27-11-2001,114,R. Huechar,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,226,350,542.837,4.090.773,R. Huechar,06-09-2002,"45,76","179,83"
06.12.003,350,Almería,Santa Fe de Mondújar,27-11-2001,114,R. Huechar,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,226,350,542.837,4.090.773,R. Huechar,08-10-2002,"46,86","178,73"
06.12.003,350,Almería,Santa Fe de Mondújar,27-11-2001,114,R. Huechar,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,226,350,542.837,4.090.773,R. Huechar,11-11-2002,"47,72","177,87"
06.12.003,350,Almería,Santa Fe de Mondújar,27-11-2001,114,R. Huechar,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,226,350,542.837,4.090.773,R. Huechar,09-12-2002,"46,04","179,55"
06.12.003,350,Almería,Santa Fe de Mondújar,27-11-2001,114,R. Huechar,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,226,350,542.837,4.090.773,R. Huechar,14-01-2003,"45,12","180,47"
06.12.003,350,Almería,Santa Fe de Mondújar,27-11-2001,114,R. Huechar,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,226,350,542.837,4.090.773,R. Huechar,07-02-2003,"44,28","181,31"
06.12.003,350,Almería,Santa Fe de Mondújar,27-11-2001,114,R. Huechar,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,226,350,542.837,4.090.773,R. Huechar,11-03-2003,"43,76","181,83"
06.12.003,350,Almería,Santa Fe de Mondújar,27-11-2001,114,R. Huechar,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,226,350,542.837,4.090.773,R. Huechar,08-04-2003,"42,74","182,85"
06.12.003,350,Almería,Santa Fe de Mondújar,27-11-2001,114,R. Huechar,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,226,350,542.837,4.090.773,R. Huechar,13-05-2003,"42,48","183,11"
06.12.003,350,Almería,Santa Fe de Mondújar,27-11-2001,114,R. Huechar,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,226,350,542.837,4.090.773,R. Huechar,10-06-2003,"43,29","182,30"
06.12.003,350,Almería,Santa Fe de Mondújar,27-11-2001,114,R. Huechar,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,226,350,542.837,4.090.773,R. Huechar,09-07-2003,"45,74","179,85"
06.12.003,350,Almería,Santa Fe de Mondújar,27-11-2001,114,R. Huechar,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,226,350,542.837,4.090.773,R. Huechar,08-08-2003,"46,93","178,66"
06.12.003,350,Almería,Santa Fe de Mondújar,27-11-2001,114,R. Huechar,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,226,350,542.837,4.090.773,R. Huechar,09-09-2003,"47,79","177,80"
06.12.003,350,Almería,Santa Fe de Mondújar,27-11-2001,114,R. Huechar,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,226,350,542.837,4.090.773,R. Huechar,07-10-2003,"48,67","176,92"
06.12.003,350,Almería,Santa Fe de Mondújar,27-11-2001,114,R. Huechar,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,226,350,542.837,4.090.773,R. Huechar,13-11-2003,"47,43","178,16"
06.12.003,350,Almería,Santa Fe de Mondújar,27-11-2001,114,R. Huechar,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,226,350,542.837,4.090.773,R. Huechar,10-12-2003,"45,42","180,17"
06.12.003,350,Almería,Santa Fe de Mondújar,27-11-2001,114,R. Huechar,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,226,350,542.837,4.090.773,R. Huechar,16-01-2004,"43,87","181,72"
06.12.003,350,Almería,Santa Fe de Mondújar,27-11-2001,114,R. Huechar,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,226,350,542.837,4.090.773,R. Huechar,12-02-2004,"43,71","181,88"
06.12.003,350,Almería,Santa Fe de Mondújar,27-11-2001,114,R. Huechar,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,226,350,542.837,4.090.773,R. Huechar,10-03-2004,"43,52","182,07"
06.12.003,350,Almería,Santa Fe de Mondújar,27-11-2001,114,R. Huechar,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,226,350,542.837,4.090.773,R. Huechar,06-04-2004,"42,44","183,15"
06.12.003,350,Almería,Santa Fe de Mondújar,27-11-2001,114,R. Huechar,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,226,350,542.837,4.090.773,R. Huechar,18-05-2004,"40,23","185,36"
06.12.003,350,Almería,Santa Fe de Mondújar,27-11-2001,114,R. Huechar,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,226,350,542.837,4.090.773,R. Huechar,09-06-2004,"40,85","184,74"
06.12.003,350,Almería,Santa Fe de Mondújar,27-11-2001,114,R. Huechar,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,226,350,542.837,4.090.773,R. Huechar,08-07-2004,"42,01","183,58"
06.12.003,350,Almería,Santa Fe de Mondújar,27-11-2001,114,R. Huechar,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,226,350,542.837,4.090.773,R. Huechar,06-08-2004,"44,01","181,58"
06.12.003,350,Almería,Santa Fe de Mondújar,27-11-2001,114,R. Huechar,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,226,350,542.837,4.090.773,R. Huechar,09-09-2004,"46,19","179,40"
06.12.003,350,Almería,Santa Fe de Mondújar,27-11-2001,114,R. Huechar,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,226,350,542.837,4.090.773,R. Huechar,14-10-2004,"47,42","178,17"
06.12.003,350,Almería,Santa Fe de Mondújar,27-11-2001,114,R. Huechar,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,226,350,542.837,4.090.773,R. Huechar,10-11-2004,"47,92","177,67"
06.12.003,350,Almería,Santa Fe de Mondújar,27-11-2001,114,R. Huechar,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,226,350,542.837,4.090.773,R. Huechar,07-12-2004,"46,64","178,95"
06.12.003,350,Almería,Santa Fe de Mondújar,27-11-2001,114,R. Huechar,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,226,350,542.837,4.090.773,R. Huechar,11-01-2005,"60,15","165,44"
06.12.003,350,Almería,Santa Fe de Mondújar,27-11-2001,114,R. Huechar,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,226,350,542.837,4.090.773,R. Huechar,10-02-2005,"62,06","163,53"
06.12.003,350,Almería,Santa Fe de Mondújar,27-11-2001,114,R. Huechar,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,226,350,542.837,4.090.773,R. Huechar,07-03-2005,"43,81","181,78"
