Piezómetros,,,,,,,,,,,,,,,,,
Cod. Piezómetro,Profundidad obra (m),Provincia,Municipio,Fecha Nivel,Nº Medidas,Nombre,Demarcación Hidrográfica,Masa de agua subterránea sobre la que se sitúa el piezómetro,Unidad Hidrogeológica,Cota terreno (msnm),Profundidad (m),Coordenada X (ETRS89),Coordenada Y (ETRS89),Descripción,Fecha,Nivel,Cota
06.14.014,134,Almería,Enix,29-11-2001,152,Bco. del Palmer,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Campo de Dalias,100,134,541.588,4.075.893,Bco. del Palmer,29-11-2001,"104,89","-5,01"
06.14.014,134,Almería,Enix,29-11-2001,152,Bco. del Palmer,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Campo de Dalias,100,134,541.588,4.075.893,Bco. del Palmer,20-12-2001,"104,84","-4,96"
06.14.014,134,Almería,Enix,29-11-2001,152,Bco. del Palmer,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Campo de Dalias,100,134,541.588,4.075.893,Bco. del Palmer,18-01-2002,"104,88","-5,00"
06.14.014,134,Almería,Enix,29-11-2001,152,Bco. del Palmer,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Campo de Dalias,100,134,541.588,4.075.893,Bco. del Palmer,08-02-2002,"104,85","-4,97"
06.14.014,134,Almería,Enix,29-11-2001,152,Bco. del Palmer,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Campo de Dalias,100,134,541.588,4.075.893,Bco. del Palmer,12-03-2002,"104,84","-4,96"
06.14.014,134,Almería,Enix,29-11-2001,152,Bco. del Palmer,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Campo de Dalias,100,134,541.588,4.075.893,Bco. del Palmer,08-04-2002,"104,81","-4,93"
06.14.014,134,Almería,Enix,29-11-2001,152,Bco. del Palmer,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Campo de Dalias,100,134,541.588,4.075.893,Bco. del Palmer,03-05-2002,"104,90","-5,02"
06.14.014,134,Almería,Enix,29-11-2001,152,Bco. del Palmer,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Campo de Dalias,100,134,541.588,4.075.893,Bco. del Palmer,11-06-2002,"104,92","-5,04"
06.14.014,134,Almería,Enix,29-11-2001,152,Bco. del Palmer,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Campo de Dalias,100,134,541.588,4.075.893,Bco. del Palmer,08-07-2002,"104,89","-5,01"
06.14.014,134,Almería,Enix,29-11-2001,152,Bco. del Palmer,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Campo de Dalias,100,134,541.588,4.075.893,Bco. del Palmer,07-08-2002,"104,88","-5,00"
