Piezómetros,,,,,,,,,,,,,,,,,
Cod. Piezómetro,Profundidad obra (m),Provincia,Municipio,Fecha Nivel,Nº Medidas,Nombre,Demarcación Hidrográfica,Masa de agua subterránea sobre la que se sitúa el piezómetro,Unidad Hidrogeológica,Cota terreno (msnm),Profundidad (m),Coordenada X (ETRS89),Coordenada Y (ETRS89),Descripción,Fecha,Nivel,Cota
06.11.005,151,Almería,Níjar,14-02-2007,91,Los Nietos de Abajo,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,73,151,575.006,4.078.330,Los Nietos de Abajo,14-02-2007,"38,84","34,45"
06.11.005,151,Almería,Níjar,14-02-2007,91,Los Nietos de Abajo,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,73,151,575.006,4.078.330,Los Nietos de Abajo,03-03-2007,"38,80","34,49"
06.11.005,151,Almería,Níjar,14-02-2007,91,Los Nietos de Abajo,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,73,151,575.006,4.078.330,Los Nietos de Abajo,10-04-2007,"38,87","34,42"
06.11.005,151,Almería,Níjar,14-02-2007,91,Los Nietos de Abajo,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,73,151,575.006,4.078.330,Los Nietos de Abajo,01-05-2007,"38,89","34,40"
06.11.005,151,Almería,Níjar,14-02-2007,91,Los Nietos de Abajo,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,73,151,575.006,4.078.330,Los Nietos de Abajo,07-06-2007,"38,86","34,43"
06.11.005,151,Almería,Níjar,14-02-2007,91,Los Nietos de Abajo,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,73,151,575.006,4.078.330,Los Nietos de Abajo,08-07-2007,"38,89","34,40"
06.11.005,151,Almería,Níjar,14-02-2007,91,Los Nietos de Abajo,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,73,151,575.006,4.078.330,Los Nietos de Abajo,05-08-2007,"38,93","34,36"
06.11.005,151,Almería,Níjar,14-02-2007,91,Los Nietos de Abajo,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,73,151,575.006,4.078.330,Los Nietos de Abajo,12-09-2007,"38,91","34,38"
06.11.005,151,Almería,Níjar,14-02-2007,91,Los Nietos de Abajo,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,73,151,575.006,4.078.330,Los Nietos de Abajo,02-10-2007,"39,00","34,29"
06.11.005,151,Almería,Níjar,14-02-2007,91,Los Nietos de Abajo,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,73,151,575.006,4.078.330,Los Nietos de Abajo,13-11-2007,"38,82","34,47"
06.11.005,151,Almería,Níjar,14-02-2007,91,Los Nietos de Abajo,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,73,151,575.006,4.078.330,Los Nietos de Abajo,11-12-2007,"38,91","34,38"
06.11.005,151,Almería,Níjar,14-02-2007,91,Los Nietos de Abajo,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,73,151,575.006,4.078.330,Los Nietos de Abajo,02-01-2008,"38,91","34,38"
06.11.005,151,Almería,Níjar,14-02-2007,91,Los Nietos de Abajo,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,73,151,575.006,4.078.330,Los Nietos de Abajo,09-02-2008,"39,03","34,26"
06.11.005,151,Almería,Níjar,14-02-2007,91,Los Nietos de Abajo,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,73,151,575.006,4.078.330,Los Nietos de Abajo,10-03-2008,"38,96","34,33"
06.11.005,151,Almería,Níjar,14-02-2007,91,Los Nietos de Abajo,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,73,151,575.006,4.078.330,Los Nietos de Abajo,06-04-2008,"38,93","34,36"
06.11.005,151,Almería,Níjar,14-02-2007,91,Los Nietos de Abajo,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,73,151,575.006,4.078.330,Los Nietos de Abajo,06-05-2008,"39,04","34,25"
06.11.005,151,Almería,Níjar,14-02-2007,91,Los Nietos de Abajo,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,73,151,575.006,4.078.330,Los Nietos de Abajo,06-06-2008,"39,10","34,19"
06.11.005,151,Almería,Níjar,14-02-2007,91,Los Nietos de Abajo,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,73,151,575.006,4.078.330,Los Nietos de Abajo,06-07-2008,"39,03","34,26"
06.11.005,151,Almería,Níjar,14-02-2007,91,Los Nietos de Abajo,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,73,151,575.006,4.078.330,Los Nietos de Abajo,06-08-2008,"39,07","34,22"
06.11.005,151,Almería,Níjar,14-02-2007,91,Los Nietos de Abajo,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,73,151,575.006,4.078.330,Los Nietos de Abajo,06-09-2008,"39,09","34,20"
06.11.005,151,Almería,Níjar,14-02-2007,91,Los Nietos de Abajo,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,73,151,575.006,4.078.330,Los Nietos de Abajo,09-10-2008,"39,10","34,19"
06.11.005,151,Almería,Níjar,14-02-2007,91,Los Nietos de Abajo,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,73,151,575.006,4.078.330,Los Nietos de Abajo,08-11-2008,"39,17","34,12"
06.11.005,151,Almería,Níjar,14-02-2007,91,Los Nietos de Abajo,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,73,151,575.006,4.078.330,Los Nietos de Abajo,10-12-2008,"39,14","34,15"
06.11.005,151,Almería,Níjar,14-02-2007,91,Los Nietos de Abajo,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,73,151,575.006,4.078.330,Los Nietos de Abajo,03-01-2009,"39,20","34,09"
06.11.005,151,Almería,Níjar,14-02-2007,91,Los Nietos de Abajo,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,73,151,575.006,4.078.330,Los Nietos de Abajo,10-02-2009,"39,26","34,03"
06.11.005,151,Almería,Níjar,14-02-2007,91,Los Nietos de Abajo,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,73,151,575.006,4.078.330,Los Nietos de Abajo,20-03-2009,"39,18","34,11"
06.11.005,151,Almería,Níjar,14-02-2007,91,Los Nietos de Abajo,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,73,151,575.006,4.078.330,Los Nietos de Abajo,20-04-2009,"39,27","34,02"
06.11.005,151,Almería,Níjar,14-02-2007,91,Los Nietos de Abajo,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,73,151,575.006,4.078.330,Los Nietos de Abajo,22-05-2009,"39,18","34,11"
