Piezómetros,,,,,,,,,,,,,,,,,
Cod. Piezómetro,Profundidad obra (m),Provincia,Municipio,Fecha Nivel,Nº Medidas,Nombre,Demarcación Hidrográfica,Masa de agua subterránea sobre la que se sitúa el piezómetro,Unidad Hidrogeológica,Cota terreno (msnm),Profundidad (m),Coordenada X (ETRS89),Coordenada Y (ETRS89),Descripción,Fecha,Nivel,Cota
06.11.002,140,Almería,Níjar,14-02-2007,92,Campohermoso,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,128,140,579.194,4.087.658,Campohermoso,14-02-2007,"57,22","71,04"
06.11.002,140,Almería,Níjar,14-02-2007,92,Campohermoso,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,128,140,579.194,4.087.658,Campohermoso,03-03-2007,"58,67","69,59"
06.11.002,140,Almería,Níjar,14-02-2007,92,Campohermoso,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,128,140,579.194,4.087.658,Campohermoso,10-04-2007,"58,79","69,47"
06.11.002,140,Almería,Níjar,14-02-2007,92,Campohermoso,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,128,140,579.194,4.087.658,Campohermoso,01-05-2007,"58,87","69,39"
06.11.002,140,Almería,Níjar,14-02-2007,92,Campohermoso,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,128,140,579.194,4.087.658,Campohermoso,07-06-2007,"50,68","77,58"
06.11.002,140,Almería,Níjar,14-02-2007,92,Campohermoso,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,128,140,579.194,4.087.658,Campohermoso,08-07-2007,"53,16","75,10"
06.11.002,140,Almería,Níjar,14-02-2007,92,Campohermoso,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,128,140,579.194,4.087.658,Campohermoso,05-08-2007,"53,93","74,33"
06.11.002,140,Almería,Níjar,14-02-2007,92,Campohermoso,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,128,140,579.194,4.087.658,Campohermoso,12-09-2007,"59,47","68,79"
06.11.002,140,Almería,Níjar,14-02-2007,92,Campohermoso,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,128,140,579.194,4.087.658,Campohermoso,02-10-2007,"58,94","69,32"
06.11.002,140,Almería,Níjar,14-02-2007,92,Campohermoso,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,128,140,579.194,4.087.658,Campohermoso,13-11-2007,"58,43","69,83"
06.11.002,140,Almería,Níjar,14-02-2007,92,Campohermoso,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,128,140,579.194,4.087.658,Campohermoso,11-12-2007,"59,09","69,17"
06.11.002,140,Almería,Níjar,14-02-2007,92,Campohermoso,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,128,140,579.194,4.087.658,Campohermoso,02-01-2008,"58,40","69,86"
06.11.002,140,Almería,Níjar,14-02-2007,92,Campohermoso,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,128,140,579.194,4.087.658,Campohermoso,09-02-2008,"59,37","68,89"
06.11.002,140,Almería,Níjar,14-02-2007,92,Campohermoso,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,128,140,579.194,4.087.658,Campohermoso,10-03-2008,"58,17","70,09"
06.11.002,140,Almería,Níjar,14-02-2007,92,Campohermoso,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,128,140,579.194,4.087.658,Campohermoso,06-04-2008,"59,37","68,89"
06.11.002,140,Almería,Níjar,14-02-2007,92,Campohermoso,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,128,140,579.194,4.087.658,Campohermoso,06-05-2008,"59,43","68,83"
