Piezómetros,,,,,,,,,,,,,,,,,
Cod. Piezómetro,Profundidad obra (m),Provincia,Municipio,Fecha Nivel,Nº Medidas,Nombre,Demarcación Hidrográfica,Masa de agua subterránea sobre la que se sitúa el piezómetro,Unidad Hidrogeológica,Cota terreno (msnm),Profundidad (m),Coordenada X (ETRS89),Coordenada Y (ETRS89),Descripción,Fecha,Nivel,Cota
06.11.203,72,Almería,Níjar,21-10-2004,118,El Viso,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,104,72,570.831,4.081.902,El Viso,21-10-2004,"51,08","52,73"
06.11.203,72,Almería,Níjar,21-10-2004,118,El Viso,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,104,72,570.831,4.081.902,El Viso,10-11-2004,"51,12","52,70"
06.11.203,72,Almería,Níjar,21-10-2004,118,El Viso,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,104,72,570.831,4.081.902,El Viso,06-12-2004,"51,15","52,66"
06.11.203,72,Almería,Níjar,21-10-2004,118,El Viso,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,104,72,570.831,4.081.902,El Viso,10-01-2005,"51,01","52,81"
06.11.203,72,Almería,Níjar,21-10-2004,118,El Viso,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,104,72,570.831,4.081.902,El Viso,10-02-2005,"51,10","52,72"
06.11.203,72,Almería,Níjar,21-10-2004,118,El Viso,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,104,72,570.831,4.081.902,El Viso,06-03-2005,"50,99","52,82"
06.11.203,72,Almería,Níjar,21-10-2004,118,El Viso,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,104,72,570.831,4.081.902,El Viso,09-04-2005,"51,12","52,70"
06.11.203,72,Almería,Níjar,21-10-2004,118,El Viso,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,104,72,570.831,4.081.902,El Viso,11-05-2005,"51,13","52,68"
06.11.203,72,Almería,Níjar,21-10-2004,118,El Viso,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,104,72,570.831,4.081.902,El Viso,10-06-2005,"51,33","52,48"
06.11.203,72,Almería,Níjar,21-10-2004,118,El Viso,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE NÍJAR,Campos de Nijar,104,72,570.831,4.081.902,El Viso,07-07-2005,"51,38","52,43"
