Piezómetros,,,,,,,,,,,,,,,,,
Cod. Piezómetro,Profundidad obra (m),Provincia,Municipio,Fecha Nivel,Nº Medidas,Nombre,Demarcación Hidrográfica,Masa de agua subterránea sobre la que se sitúa el piezómetro,Unidad Hidrogeológica,Cota terreno (msnm),Profundidad (m),Coordenada X (ETRS89),Coordenada Y (ETRS89),Descripción,Fecha,Nivel,Cota
06.14.013,400,Almería,"Ejido, El",30-11-2001,152,Castillo de Guardias Viejas,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Campo de Dalias,39,400,513.288,4.061.793,Castillo de Guardias Viejas,30-11-2001,"42,62","-3,82"
06.14.013,400,Almería,"Ejido, El",30-11-2001,152,Castillo de Guardias Viejas,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Campo de Dalias,39,400,513.288,4.061.793,Castillo de Guardias Viejas,20-12-2001,"42,54","-3,74"
06.14.013,400,Almería,"Ejido, El",30-11-2001,152,Castillo de Guardias Viejas,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Campo de Dalias,39,400,513.288,4.061.793,Castillo de Guardias Viejas,18-01-2002,"39,62","-,82"
06.14.013,400,Almería,"Ejido, El",30-11-2001,152,Castillo de Guardias Viejas,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Campo de Dalias,39,400,513.288,4.061.793,Castillo de Guardias Viejas,08-02-2002,"39,54","-,74"
06.14.013,400,Almería,"Ejido, El",30-11-2001,152,Castillo de Guardias Viejas,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Campo de Dalias,39,400,513.288,4.061.793,Castillo de Guardias Viejas,12-03-2002,"39,55","-,75"
06.14.013,400,Almería,"Ejido, El",30-11-2001,152,Castillo de Guardias Viejas,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Campo de Dalias,39,400,513.288,4.061.793,Castillo de Guardias Viejas,09-04-2002,"39,53","-,73"
06.14.013,400,Almería,"Ejido, El",30-11-2001,152,Castillo de Guardias Viejas,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Campo de Dalias,39,400,513.288,4.061.793,Castillo de Guardias Viejas,03-05-2002,"39,73","-,93"
06.14.013,400,Almería,"Ejido, El",30-11-2001,152,Castillo de Guardias Viejas,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Campo de Dalias,39,400,513.288,4.061.793,Castillo de Guardias Viejas,10-06-2002,"39,76","-,96"
06.14.013,400,Almería,"Ejido, El",30-11-2001,152,Castillo de Guardias Viejas,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Campo de Dalias,39,400,513.288,4.061.793,Castillo de Guardias Viejas,09-07-2002,"39,78","-,98"
06.14.013,400,Almería,"Ejido, El",30-11-2001,152,Castillo de Guardias Viejas,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Campo de Dalias,39,400,513.288,4.061.793,Castillo de Guardias Viejas,08-08-2002,"39,77","-,97"
