Piezómetros,,,,,,,,,,,,,,,,,
Cod. Piezómetro,Profundidad obra (m),Provincia,Municipio,Fecha Nivel,Nº Medidas,Nombre,Demarcación Hidrográfica,Masa de agua subterránea sobre la que se sitúa el piezómetro,Unidad Hidrogeológica,Cota terreno (msnm),Profundidad (m),Coordenada X (ETRS89),Coordenada Y (ETRS89),Descripción,Fecha,Nivel,Cota
06.12.001,46,Almería,Alhama de Almería,10-02-2007,35,Cortijo de las Palmeras,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,244,46,538.254,4.092.498,Cortijo de las Palmeras,10-02-2007,"2,33","241,92"
06.12.001,46,Almería,Alhama de Almería,10-02-2007,35,Cortijo de las Palmeras,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,244,46,538.254,4.092.498,Cortijo de las Palmeras,04-03-2007,"2,37","241,88"
06.12.001,46,Almería,Alhama de Almería,10-02-2007,35,Cortijo de las Palmeras,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,244,46,538.254,4.092.498,Cortijo de las Palmeras,04-04-2007,"2,45","241,79"
06.12.001,46,Almería,Alhama de Almería,10-02-2007,35,Cortijo de las Palmeras,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,244,46,538.254,4.092.498,Cortijo de las Palmeras,05-05-2007,"2,30","241,95"
06.12.001,46,Almería,Alhama de Almería,10-02-2007,35,Cortijo de las Palmeras,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,244,46,538.254,4.092.498,Cortijo de las Palmeras,08-06-2007,"2,74","241,50"
06.12.001,46,Almería,Alhama de Almería,10-02-2007,35,Cortijo de las Palmeras,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,244,46,538.254,4.092.498,Cortijo de las Palmeras,09-07-2007,"3,76","240,49"
06.12.001,46,Almería,Alhama de Almería,10-02-2007,35,Cortijo de las Palmeras,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,244,46,538.254,4.092.498,Cortijo de las Palmeras,04-08-2007,"4,36","239,88"
06.12.001,46,Almería,Alhama de Almería,10-02-2007,35,Cortijo de las Palmeras,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,244,46,538.254,4.092.498,Cortijo de las Palmeras,13-09-2007,"4,86","239,38"
06.12.001,46,Almería,Alhama de Almería,10-02-2007,35,Cortijo de las Palmeras,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,244,46,538.254,4.092.498,Cortijo de las Palmeras,03-10-2007,"4,73","239,51"
06.12.001,46,Almería,Alhama de Almería,10-02-2007,35,Cortijo de las Palmeras,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,244,46,538.254,4.092.498,Cortijo de las Palmeras,10-11-2007,"3,92","240,32"
06.12.001,46,Almería,Alhama de Almería,10-02-2007,35,Cortijo de las Palmeras,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,244,46,538.254,4.092.498,Cortijo de las Palmeras,12-12-2007,"2,68","241,56"
06.12.001,46,Almería,Alhama de Almería,10-02-2007,35,Cortijo de las Palmeras,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,244,46,538.254,4.092.498,Cortijo de las Palmeras,03-01-2008,"2,30","241,95"
06.12.001,46,Almería,Alhama de Almería,10-02-2007,35,Cortijo de las Palmeras,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,244,46,538.254,4.092.498,Cortijo de las Palmeras,09-02-2008,"2,11","242,14"
06.12.001,46,Almería,Alhama de Almería,10-02-2007,35,Cortijo de las Palmeras,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,244,46,538.254,4.092.498,Cortijo de las Palmeras,08-03-2008,"2,21","242,03"
06.12.001,46,Almería,Alhama de Almería,10-02-2007,35,Cortijo de las Palmeras,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,244,46,538.254,4.092.498,Cortijo de las Palmeras,09-04-2008,"2,25","242,00"
06.12.001,46,Almería,Alhama de Almería,10-02-2007,35,Cortijo de las Palmeras,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,244,46,538.254,4.092.498,Cortijo de las Palmeras,05-05-2008,"2,36","241,89"
06.12.001,46,Almería,Alhama de Almería,10-02-2007,35,Cortijo de las Palmeras,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,244,46,538.254,4.092.498,Cortijo de las Palmeras,05-06-2008,"2,53","241,72"
06.12.001,46,Almería,Alhama de Almería,10-02-2007,35,Cortijo de las Palmeras,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,244,46,538.254,4.092.498,Cortijo de las Palmeras,05-07-2008,"2,96","241,28"
06.12.001,46,Almería,Alhama de Almería,10-02-2007,35,Cortijo de las Palmeras,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,244,46,538.254,4.092.498,Cortijo de las Palmeras,05-08-2008,"4,18","240,07"
06.12.001,46,Almería,Alhama de Almería,10-02-2007,35,Cortijo de las Palmeras,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,244,46,538.254,4.092.498,Cortijo de las Palmeras,05-09-2008,"4,81","239,44"
06.12.001,46,Almería,Alhama de Almería,10-02-2007,35,Cortijo de las Palmeras,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,244,46,538.254,4.092.498,Cortijo de las Palmeras,12-10-2008,"3,01","241,24"
06.12.001,46,Almería,Alhama de Almería,10-02-2007,35,Cortijo de las Palmeras,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,244,46,538.254,4.092.498,Cortijo de las Palmeras,09-11-2008,"4,81","239,44"
06.12.001,46,Almería,Alhama de Almería,10-02-2007,35,Cortijo de las Palmeras,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,244,46,538.254,4.092.498,Cortijo de las Palmeras,09-12-2008,"2,57","241,68"
06.12.001,46,Almería,Alhama de Almería,10-02-2007,35,Cortijo de las Palmeras,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,244,46,538.254,4.092.498,Cortijo de las Palmeras,07-01-2009,"2,49","241,75"
06.12.001,46,Almería,Alhama de Almería,10-02-2007,35,Cortijo de las Palmeras,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,244,46,538.254,4.092.498,Cortijo de las Palmeras,11-02-2009,"0,83","243,42"
06.12.001,46,Almería,Alhama de Almería,10-02-2007,35,Cortijo de las Palmeras,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,244,46,538.254,4.092.498,Cortijo de las Palmeras,12-03-2009,"1,69","242,55"
06.12.001,46,Almería,Alhama de Almería,10-02-2007,35,Cortijo de las Palmeras,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,244,46,538.254,4.092.498,Cortijo de las Palmeras,16-04-2009,"2,38","241,86"
06.12.001,46,Almería,Alhama de Almería,10-02-2007,35,Cortijo de las Palmeras,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,244,46,538.254,4.092.498,Cortijo de las Palmeras,25-05-2009,"2,10","242,15"
06.12.001,46,Almería,Alhama de Almería,10-02-2007,35,Cortijo de las Palmeras,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,244,46,538.254,4.092.498,Cortijo de las Palmeras,18-06-2009,"2,16","242,08"
06.12.001,46,Almería,Alhama de Almería,10-02-2007,35,Cortijo de las Palmeras,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,244,46,538.254,4.092.498,Cortijo de las Palmeras,22-07-2009,"2,60","241,65"
06.12.001,46,Almería,Alhama de Almería,10-02-2007,35,Cortijo de las Palmeras,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,244,46,538.254,4.092.498,Cortijo de las Palmeras,20-08-2009,"3,52","240,73"
06.12.001,46,Almería,Alhama de Almería,10-02-2007,35,Cortijo de las Palmeras,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,244,46,538.254,4.092.498,Cortijo de las Palmeras,17-09-2009,"4,42","239,82"
06.12.001,46,Almería,Alhama de Almería,10-02-2007,35,Cortijo de las Palmeras,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,244,46,538.254,4.092.498,Cortijo de las Palmeras,21-10-2009,"4,10","240,15"
06.12.001,46,Almería,Alhama de Almería,10-02-2007,35,Cortijo de las Palmeras,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,244,46,538.254,4.092.498,Cortijo de las Palmeras,20-11-2009,"2,90","241,34"
06.12.001,46,Almería,Alhama de Almería,10-02-2007,35,Cortijo de las Palmeras,CUENCAS MEDITERRANEAS ANDALUZAS,MEDIO-BAJO ANDARAX,Andarax-Almeria,244,46,538.254,4.092.498,Cortijo de las Palmeras,21-12-2009,"2,10","242,15"
