Piezómetros,,,,,,,,,,,,,,,,,
Cod. Piezómetro,Profundidad obra (m),Provincia,Municipio,Fecha Nivel,Nº Medidas,Nombre,Demarcación Hidrográfica,Masa de agua subterránea sobre la que se sitúa el piezómetro,Unidad Hidrogeológica,Cota terreno (msnm),Profundidad (m),Coordenada X (ETRS89),Coordenada Y (ETRS89),Descripción,Fecha,Nivel,Cota
06.14.005,282,Almería,Roquetas de Mar,30-11-2001,150,Cjos. de Marín,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Campo de Dalias,30,282,530.738,4.068.493,Cjos. de Marín,30-11-2001,"16,58","13,36"
06.14.005,282,Almería,Roquetas de Mar,30-11-2001,150,Cjos. de Marín,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Campo de Dalias,30,282,530.738,4.068.493,Cjos. de Marín,20-12-2001,"16,66","13,28"
06.14.005,282,Almería,Roquetas de Mar,30-11-2001,150,Cjos. de Marín,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Campo de Dalias,30,282,530.738,4.068.493,Cjos. de Marín,18-01-2002,"16,55","13,39"
06.14.005,282,Almería,Roquetas de Mar,30-11-2001,150,Cjos. de Marín,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Campo de Dalias,30,282,530.738,4.068.493,Cjos. de Marín,08-02-2002,"16,58","13,36"
06.14.005,282,Almería,Roquetas de Mar,30-11-2001,150,Cjos. de Marín,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Campo de Dalias,30,282,530.738,4.068.493,Cjos. de Marín,12-03-2002,"16,49","13,45"
06.14.005,282,Almería,Roquetas de Mar,30-11-2001,150,Cjos. de Marín,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Campo de Dalias,30,282,530.738,4.068.493,Cjos. de Marín,08-04-2002,"16,44","13,50"
06.14.005,282,Almería,Roquetas de Mar,30-11-2001,150,Cjos. de Marín,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Campo de Dalias,30,282,530.738,4.068.493,Cjos. de Marín,03-05-2002,"16,43","13,51"
06.14.005,282,Almería,Roquetas de Mar,30-11-2001,150,Cjos. de Marín,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Campo de Dalias,30,282,530.738,4.068.493,Cjos. de Marín,10-06-2002,"16,39","13,55"
06.14.005,282,Almería,Roquetas de Mar,30-11-2001,150,Cjos. de Marín,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Campo de Dalias,30,282,530.738,4.068.493,Cjos. de Marín,08-07-2002,"16,38","13,56"
06.14.005,282,Almería,Roquetas de Mar,30-11-2001,150,Cjos. de Marín,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Campo de Dalias,30,282,530.738,4.068.493,Cjos. de Marín,07-08-2002,"16,47","13,47"
